Topic,Story (story.md),Technical (chapter.md),Code,Play
"Shape check vs calibration check","Story A/A section: 'two questions buried inside an A/A check' contrasts the easy shape check against the harder calibration check.","Loop C caveat: fraction beyond 1.96 * empirical std is ~5% by construction under any symmetric distribution; that is a shape check, not calibration.",generate.render_aa_stability,"SKIP: caveat beat, no play script"
"Empirical rejection rate against nominal alpha","Story A/A section: real report is the empirical rejection rate, not the pooled-spread fraction.","Loop C Try (calibration): use each trial's own p-value via Welch t-test and call expkit.metrics.quality.aa_calibration(p_values, alpha=0.05).","generate.render_aa_stability calls aa_calibration on scipy.stats.ttest_ind per-trial p-values","SKIP: calibration beat, no play script"
"Wilson CI brackets alpha = 0.05","Story A/A section: 5000 trials yield ~250 rejections, 95% CI ~[0.045, 0.055] brackets alpha.","Loop C Observe (calibration): empirical rejection rate ~ 0.0498, 95% Wilson CI ~ [0.045, 0.055]; the CI brackets 0.05 so the pipeline is calibrated.",generate.render_aa_stability,"SKIP: covered by generate figure"
"A/A is the pipeline sanity check","SKIP: summary beat, no story text","Loop C Hunch: the right summary is empirical rejection rate vs alpha with its own CI, not the tautological fraction past the empirical 1.96-std band.","SKIP: summary beat, no code","SKIP: summary beat, no play script"
"Predictivity: short-term vs long-term effects","Third dimension of quality: a low-noise metric is useless if it doesn't predict the thing you care about; high noise plus high validity can still beat low noise plus irrelevance.","Loop D Try: pair short-term and long-term effects across 200 simulated experiments for three metrics (good, noisy, liar) and call predictivity(short, long, n_boot=1000, seed=0).",generate.render_predictivity_grid using expkit.metrics.quality.predictivity (seed 7),"SKIP: covered by generate figure"
"Good, noisy, and lying metrics separable at N=200","Story predictivity paragraph: three kinds of short-term metric come apart at N=200 paired experiments; at N=30 their bootstrap CIs overlap.","Loop D Observe: good r ~ +0.6 [+0.50, +0.69]; noisy r ~ 0 [-0.14, +0.14]; liar r ~ -0.3 [-0.42, -0.16]. Image images/predictivity_grid.png. At N=30 the CIs would overlap.",generate.render_predictivity_grid,"SKIP: covered by generate figure"
"Goodhart's law behind negative predictivity","Story predictivity paragraph also carries Goodhart: optimizing the proxy lifts the proxy and burns the outcome, hence negative r for the lying metric.","Loop D Hunch: predictivity is a metric of metrics; weight short-term metrics by measured predictivity, don't optimize them directly. Goodhart explains the negative-r case.","SKIP: interpretation beat, no code","SKIP: interpretation beat, no play script"
"Bayesian counterpart of Loop C via Beta-binomial","Story two-lens paragraph: Beta(1,1) prior plus 5000 A/A outcomes gives posterior mean ~0.050, 95% CrI ~[0.044, 0.056], P(r>0.05) ~ 0.49.","Two-lens: treat ~249 of 5,000 rejections as binomial with Beta(1,1) prior, call expkit.inference.bayes.coin_posterior_conjugate on the 0/1 reject indicators to get Beta(250, 4751). Posterior mean ~0.0500, 95% CrI ~[0.044, 0.056], P(r>0.05) ~ 0.49.","SKIP: inline numbers in chapter text","SKIP: inline two-lens, no play script"
"Two-lens agreement when data drown the prior","Story two-lens paragraph: frequentist Wilson and Bayesian posterior agree because data are plentiful and prior is weak; at 50 trials Wilson CI is wide, posterior still calibrated.","Two-lens commentary: frequentist Wilson and Bayesian posterior agree here; they would diverge at ~50 A/A trials where the Wilson CI is wide and the posterior is still calibrated.","SKIP: commentary beat, no code","SKIP: commentary beat, no play script"
"Bayesian paths for Loops B and D named, not shipped","SKIP: named-only, no story text","Two-lens for B: regression of y on x with Normal(0,1) prior on theta and posterior over variance reduction. For D: posterior over Pearson rho via Fisher z or bivariate Normal. Expkit does not ship these; the frequentist tools suffice at this chapter's sample sizes.","SKIP: not implemented in expkit","SKIP: not implemented in expkit"
"Real-world close: CUPED, stratification, park-adjusted stats","Microsoft CUPED is now standard at most large tech A/B platforms; Phase 3 cancer trials stratify on prior treatment, performance status, stage; baseball adjusts for park, opponent, pitcher hand.",Echoes Loops A and B in production practice.,"SKIP: real-world close, no code","SKIP: real-world close, no play script"
"Hand-off: who gets the credit?","Closing question: a user touches five times before converting, a patient recovers after multiple treatments, a search result has many features. Attribution is a different question.","Big question opening Ch 17: when conversions take time, who gets the credit?","SKIP: hand-off paragraph, no code","SKIP: hand-off paragraph, no play script"
