Topic,Story (story.md),Technical (chapter.md),Code,Play
"Chi-square: one test over the whole vector","A single goodness-of-fit test asks ""is the entire vector of counts consistent with uniform 1/6?"" — one p-value, no multiple comparisons by construction.","Loop B Try: chi-square goodness-of-fit applied to a fair die and a loaded die (face 6 at p=1/3, others at 2/15 each) at increasing N.","SKIP: setup for row 15 figure","SKIP: covered by play/loaded_die_detector.py"
"Large-sample validity check for chi-square","Chi-square is a large-sample approximation; rule of thumb expected count ~5 per cell (roughly N>=30 at the boundary, N>=60 comfortably clear for six faces). Small N or rare cells call for an exact multinomial test or simulation-based p-values.","Loop B Assumption check: chi-square approximation needs expected counts of roughly 5+ per cell; for uniform 6-face that is N>=30 at the boundary, N>=60 comfortably clear. Small N or rare cells call for exact multinomial or simulation-based p-values.","SKIP: rule of thumb, no artifact","SKIP: rule of thumb, no play script"
"Fair-die p-values bounce around 0.05","Fair-die line bounces above alpha=0.05, dipping below occasionally — the 5% false-alarm rate doing its job.","Loop B Observe (fair): p-values bounce above 0.05 with occasional dips — the 5% type-I rate at work.","SKIP: rendered together with row 15","SKIP: covered by play/loaded_die_detector.py"
"Loaded-die p-value collapses by a few hundred rolls","Loaded line starts above 0.05, drops below reliably at a few hundred rolls, then below 1e-10 by a thousand rolls. Image story/chi_square_pvalues.png. Log-log axes.","Loop B Observe (loaded, seed 72 single-shot grid): loaded p-value first stays below 0.05 from N=138 onward; by a few hundred rolls a single experiment essentially always rejects. Image chi2_pvalues.png.","story_generate.render_chi_square_pvalues (seed 72); generate.render_chi2_pvalue_curve (SEEDS['monte_carlo']=72, saves chi2_pvalues_grid)",play/loaded_die_detector.py
"Dirichlet-multinomial conjugacy","Dirichlet is the multi-outcome Beta; multinomial is the multi-outcome binomial. Flat Dirichlet(1,...,1) prior plus counts c_i gives posterior Dirichlet(1+c_1,...,1+c_6), just like the Beta case.","Loop C Try: Dirichlet(1,1,1,1,1,1) prior plus observed counts gives Dirichlet(1+c_1,...,1+c_6) posterior; plot marginal per face on shared axes at N=600.","SKIP: setup for row 17 figure","SKIP: no dedicated play script"
"Posterior marginals pick out the loaded face","Six curves on one axis after 600 rolls of a face-6-loaded die: faces 1-5 peak near 0.13 (slightly below 1/6 because face 6 ate their mass); face 6 peaks near 0.33; fair=1/6 line sits inside the 1-5 bands and far outside face 6. Image story/dirichlet_posterior.png.","Loop C Observe: same pattern; fair line at 1/6 inside posteriors for faces 1-5 and well outside face 6. Image dirichlet_posterior.png.","story_generate.render_dirichlet_posterior (seed 72); generate.render_dirichlet_posterior (SEEDS['loaded']=71, draw seed 0)","SKIP: no dedicated play script"
"Marginal of a Dirichlet is a Beta","Read off ""how plausible is P(face 6)"" from a Beta curve on the marginal, just like the coin's belief curve.",Implied by Loop C Try (conjugacy extended),"SKIP: analytical note, no artifact","SKIP: analytical note, no play script"
"Frequentist vs Bayesian frame for the same vector","The frequentist runs either six tests with corrections or one aggregate test; the Bayesian holds one joint posterior and queries it from any angle.","Loop C Compare: Bayesian answers ""what is plausible for each face?""; frequentist chi-square answers ""is the whole vector consistent with fair?"" — different questions, both useful.","SKIP: comparison row, no artifact","SKIP: comparison row, no play script"
"Joint posterior dodges multiple comparisons by construction","SKIP: technical-only row, story does not cover","Loop D Bayesian counterpart: Dirichlet posterior is one consistent joint object over (p_1,...,p_6); reading more marginals does not inflate any threshold because there is no threshold to inflate.","SKIP: conceptual note, no artifact","SKIP: conceptual note, no play script"
"Bayesian multiplicity is not zero — selection still bites","Scanning many marginals and reporting the most extreme one is selection; Bayesian guarantees break under selection too. Hierarchical pooling is the right remedy and comes later.","Loop D Bayesian caveat: Dirichlet(1,...,1) is symmetric, not hierarchical; selecting the most extreme marginal reintroduces multiplicity. Proper fix is hierarchical pooling with a learned concentration parameter, picked up in later hierarchical chapters.","SKIP: forward-ref to hierarchical chapters","SKIP: forward-ref to hierarchical chapters"
"Real-world multiple-comparisons discipline","Casinos run chi-square, not per-face tests; genome-wide studies use ~5e-8 threshold (0.05 divided by roughly a million independent positions); pharmacovigilance uses FDR-style adjustments. Set thresholds tightly up front rather than firefighting later.",Forward-ref to FDR and Ch 11 segmentation work.,"SKIP: domain examples, no artifact","SKIP: domain examples, no play script"
"Hand-off: is one thing different from another?","Closing: so far we tested whether one die is fair; the next move is two dice, two coins, two website variants, two drugs. Question shifts from ""is this what I expected?"" to ""is this different from that?"".","Big-question section: how do we go from ""is this one thing fair?"" to ""is this thing different from that thing?"" — opens Ch 8 (A/B tests).","SKIP: hand-off row, no artifact","SKIP: hand-off row, no play script"
