Topic,Story (story.md),Technical (chapter.md),Code,Play
"Tools for heterogeneity: CMH and hierarchical Bayes","One sentence: tools exist (CMH frequentist combiner, hierarchical Bayes), to be picked up in the segmentation chapter.",Loop C Hunch: pooling discards information. CMH (Cochran-Mantel-Haenszel) is the canonical strata-respecting frequentist combiner — one chi-square plus pooled MH odds ratio across K strata, no multiplicity tax. Forward-ref to Ch 11 Loop C.5 (CMH + Bonferroni/Holm/BH) and Ch 12 (hierarchical Bayes). Exposed as expkit.inference.cmh.cochran_mantel_haenszel.,"SKIP: forward-ref to Ch 11 and Ch 12","SKIP: forward-ref to Ch 11 and Ch 12"
"MMU as an organizational choice","SKIP: definitional note, no story beat","Loop D Note on MMU: minimum meaningful uplift is an organizational/economic choice, not a Bayesian invention. Frequentist analogue is one-sided non-inferiority CI rule. Acronym carries to Ch 18 capstone.","SKIP: definitional note, no code","SKIP: definitional note, no runner"
"Two decision rules side by side","Frequentist: ship if p<0.05 and direction positive. Bayesian-with-MMU: ship if P(lift > 0.5pp) > 0.95. MMU is a business decision.","Loop D Try: freq rule 'p<0.05 and direction positive' (the simple version chosen to make the contrast visible) vs Bayes rule 'P(diff > MMU) > 0.95' with MMU=0.5pp. Sweep true effect from -2pp to +4pp, 300 simulated experiments per truth at N=2000 per arm.",generate.render_decision_rule (seed 99); story_generate.render_decision_rules (seed 8),"SKIP: decision-rule sweep, no interactive runner"
"Shipping rates across true effects","At zero effect both ~2-3% (effectively one-sided test at 2.5%; Bayes-with-MMU slightly stricter). At MMU 0.5pp both ~5-7%. At 2pp both >50%, climbing to ~100% at 4pp. At negative effects neither ships. Image story/decision_rules.png.","Loop D Observe: same numbers. Curves overlap more than expected; gap widens at smaller N or larger MMU. Read as 'freq H0:diff=0 vs Bayes-with-MMU', not freq-vs-Bayes in general. Image decision_rule.png.",generate.render_decision_rule; story_generate.render_decision_rules,"SKIP: decision-rule sweep, no interactive runner"
"Statistical significance vs practical meaning","Two natural tensions: 'is it a real effect at all?' (statistics) vs 'is it big enough to care about?' (business). Conflating leads to bad decisions; mature programs build an MMU in even when using frequentist machinery.",Loop D Hunch: the simple freq rule doesn't know what matters — it asks 'different from zero?'. Bayes-with-MMU asks 'meaningfully positive?'. Give the freq lens an MMU via one-sided non-inferiority CI and the two converge.,"SKIP: hunch synthesis, no new figure","SKIP: hunch synthesis, no runner"
"Closed-form vs PyMC for the same A/B","SKIP: Loop F technical only by design","Loop F Try: Loop A's easy case (5% vs 6%, N=10,000 per arm) refit in PyMC. Two Beta(1,1) priors, two binomial likelihoods, deterministic diff = p_t - p_c. NUTS sampling.",generate.render_pymc_posterior (seed 808); uses expkit.inference.bayes.two_arm_posterior,"SKIP: Loop F technical only by design"
"PyMC matches closed-form Beta","SKIP: Loop F technical only by design","Loop F Observe: PyMC posterior on each arm sits at its true probability. Posterior on diff centred near 0.01 with most mass above zero. Closed-form Beta posterior cross-checks PyMC exactly (conjugate model). Image pymc_two_arm.png.",generate.render_pymc_posterior (saves InferenceData to data/two_arm_posterior),"SKIP: Loop F technical only by design"
"Why PyMC if conjugate works","SKIP: Loop F technical only by design","Loop F: Ch 9 brings heterogeneous segments, side effects, ratio metrics — no conjugate. Same PyMC pattern (write model, sample, inspect) extends; conjugate was a special case.","SKIP: forward-ref to Ch 9, no code here","SKIP: forward-ref to Ch 9, no runner"
"Real-world stages: vaccine, drug, web","Vaccine trial = two-arm binary (got disease or not); freq=two-proportion test with relative risk, Bayes=posterior on vaccine efficacy. Drug trial scales with outcome type (continuous BP / binary responder / count of episodes). Web A/B = industrialized version of same shape. Math same, stakes vary by orders of magnitude.",Not covered (story-only synthesis).,"SKIP: story-only synthesis, no code","SKIP: story-only synthesis, no runner"
"Hand-off: setup contains hidden assumptions","Forward question: math of the comparison cannot save a bad setup. Depression trial on white Stanford grads under 40 gives a precise answer to a question that doesn't generalize. Weekday-afternoon A/B lift may vanish on weekends.","Big question opening Ch 9: how do scientists and product teams actually decide what to ship — and where do they go wrong?","SKIP: hand-off to Ch 9, no code","SKIP: hand-off to Ch 9, no runner"
