Topic,Story (story.md),Technical (chapter.md),Code,Play
"Why no Bayes-factor rule",SKIP: technical aside chapter.md only,"Aside in Loop B: BF-based shipping rule deliberately omitted. Under Ch 6's prior-on-H1 fragility, a BF curve would mostly trace that hidden knob, not the lens.",SKIP: aside no code,SKIP: aside no play
"Cost model: FP ship vs missed real win",SKIP: technical framing chapter.md only,"Loop C Try: every FP ship costs C1, every missed real win costs C2, sweep the ratio.",generate.render_cost_analysis,SKIP: static figure no interactive play
"Which rule is cheaper depends on the cost ratio",SKIP: technical observation chapter.md only,"Loop C Observe: C1=1, C2=1 → F slightly more expensive (higher FP rate). C1=1, C2=5 → F wins (B misses too many). Per-rate SE ~0.005–0.01, only the C2=5 reversal is comfortably outside noise. Image cost_analysis.png.",SKIP: covered by generate.render_cost_analysis,SKIP: static figure no interactive play
"Constant-per-decision cost is a first pass",SKIP: technical caveat chapter.md only,"Loop C Caveat: model treats all FPs and all misses as equal, an effect-weighted version (cost ∝ size of missed win) would penalize big misses more. Deferred to keep capstone tractable.",SKIP: caveat no code,SKIP: caveat no play
"No globally better lens","Tech-context wrong ships are cheap and revertible, pharma wrong approvals are catastrophic, education pilots with small N and strong priors favor Bayesian. Framework choice is tool selection.",Loop C Hunch: right rule depends on whether the org fears bad ships or missed wins more.,SKIP: interpretive hunch no code,SKIP: interpretive hunch no play
"Prior sensitivity aside",SKIP: technical aside chapter.md only,"Aside (not a full loop): Beta(1,1) flat prior gives the results above. Beta(50,50) makes B almost never ship, permissive priors make B as eager as F. Prior is the knob, a full Try/Observe sweep is left for follow-up.",SKIP: sweep deferred to follow-up,SKIP: sweep deferred to follow-up
"Joint rule: ship only if both agree","Story note: a joint rule (ship only when both lenses agree) tracks the more conservative lens, costing a few marginal wins in exchange for a defensible audit trail.","Loop E Try + Observe: joint ship rate tracks B's (the more conservative). At MMU and below, joint ships are rare; at truth in (0.010, 0.020] ~0.20; at (0.020, 0.050] ~0.60 (Wilson 95% CI ~0.45–0.74). Image joint_decision.png.",generate.render_joint_decision,SKIP: static figure no interactive play
"Joint rule is conservative but defensible",SKIP: technical hunch chapter.md only,"Loop E Hunch: 'both must agree' costs a few marginal wins but buys a defensible audit trail, shipped because both frames said yes.",SKIP: interpretive hunch no code,SKIP: interpretive hunch no play
"Discovered bug in the simulator",SKIP: technical note chapter.md only,"Chapter note: original run_simulator reseeded the per-run RNG to a constant inside the loop, correlating Monte-Carlo noise on the Bayesian P(diff > MMU) across all 2,000 experiments (bias ~0.008 in SE). Fixed by spawning a per-run rng from the outer rng; F-only-ship cell most likely to shift.",generate.run_simulator (comment documents the fix, now local = default_rng(rng.integers(...))),SKIP: bug fix note no play
"Framework wars are smaller than the question","The question is the thing. A wrong question answered well with either lens is still wrong, a right question survives imperfect frameworks.","Distilled two-lens commentary: lenses are complementary, not competitors. Agreement on clear cases, divergence flags the borderline experiments worth a judgement call.",SKIP: closing commentary no code,SKIP: closing commentary no play
"Hand-off: what about when we can't run the experiment?","Closing line: randomization isn't always possible (smoking, policies, parents). A different framework, causal inference, takes over.",Big question for Ch 19: when do experiments stop being enough?,SKIP: hand-off question no code,SKIP: hand-off question no play
