Topic,Story (story.md),Technical (chapter.md),Code,Play
"Propensity as confounder","SKIP: folded into selection bias story","Loop B Observe + right panel of selection_bias.png: treated and untreated differ on baseline propensity; the gap is selection, not treatment.","generate.render_selection_bias (right panel histograms of propensity by arm)","SKIP: covered by play/selection_bias.py"
"Rubin's decomposition (SDO = ATE + selection + HTE)","SKIP: formal decomposition, technical track only","Loop B Hunch: simple difference in outcomes decomposes into ATE + selection bias + HTE bias. With constant +0.30 effect, HTE term vanishes; the ~0.70 gap is pure selection bias.","SKIP: identity stated in text, no code","SKIP: covered by play/selection_bias.py"
"Think about the data-generating process","First tool of causal inference: what variables affect treatment and outcome, and are they correlated. Those are confounders.","Loop B Hunch (continued): the central problem causal inference solves when randomization is impossible.","SKIP: conceptual framing, no code","SKIP: conceptual framing, no play"
"DAGs and adjustment","Statisticians and epidemiologists draw the directed acyclic graph. Rules specify which adjustments make the comparison valid (confounders) and which make it worse (mediators on the causal path).","Loop B hunch bullet: DAGs make the DGP explicit, adjust for confounders, do not adjust for mediators.","SKIP: handoff to sibling causal repo","SKIP: handoff to sibling causal repo"
"Natural experiments","John Snow's 1854 cholera study: two water companies, one with contaminated Broad Street pump, similar residents either side of the boundary; assignment by old contract, not health. Vietnam draft lottery, twin studies, same-sex siblings, school cutoff dates.","Loop B hunch bullet: John Snow 1854, draft lotteries, twin studies, same-sex siblings, school cutoff dates as as-good-as-random assignments.","SKIP: real-world cases (cholera, draft)","SKIP: handoff to sibling causal repo"
"Instrumental variables","Variable randomly distributed, affects only treatment and not outcome directly; compulsory schooling laws as instrument for years of education is the textbook case.","Mentioned in Loop B Hunch list of causal-inference tools.","SKIP: handoff to sibling causal repo","SKIP: handoff to sibling causal repo"
"Matched studies","Match each treated subject to an untreated subject with similar pre-treatment characteristics. Catch: you have to know all the relevant confounders, which you rarely do.","Mentioned in Loop B Hunch list of tools.","SKIP: handoff to sibling causal repo","SKIP: handoff to sibling causal repo"
"Potential outcomes (Rubin) vocabulary","Story paragraph: for each person there is the outcome they would have had if treated and if not; I only see one; randomization makes assignment independent of both.","Loop C: each unit has Y(0) and Y(1); we see one or the other. The book has used this implicitly since Ch 8; now it is named. ATE = E[Y(1)-Y(0)]; selection bias = E[Y(0)|treated] - E[Y(0)|untreated]; identification as the joint question of data + assumptions.","SKIP: vocabulary, no code","SKIP: vocabulary, no play"
"Reusable machinery across the handoff","Confidence intervals and Bayesian posteriors still work conditional on the model; what changes is the need to specify and defend the data-generating process.","Closing thought: the book's machinery designs, runs, and interprets experiments; the causal repo asks 'what would have happened' without one. Knowing when to reach for which is the skill.","SKIP: closing reflection, no code","SKIP: closing reflection, no play"
"Sibling repo and Mixtape handoff","SKIP: repo-pointer row, technical only","Handoff section: serious treatment lives in /home/k1/public/statistics/causal_inference, built on Scott Cunningham's Mixtape Sessions (potential outcomes, perfect doctor vs random assignment, Thornton HIV experiment).","SKIP: handoff to sibling causal repo","SKIP: handoff to sibling causal repo"
"End of the book, hand-off to the reader","Closing line: if I can stay honest with the coin in my hand, I have a chance of staying honest about the things that actually matter. The coin has been a good companion; drugs, polls, A/B tests, verdicts, climate attribution all live inside the same machinery.","Big question handed to the reader: when do experiments stop being enough, in your domain?","SKIP: closing line, no code","SKIP: closing line, no play"
