Topic,Story (story.md),Technical (chapter.md),Code,Play
"Boundary failure of Wald","Four extreme cases 0/10, 10/10, 1/100, 99/100. Wald collapses to a point at 0/10 and 10/10 — rules out every other value, which is absurd when a 0.9-biased coin gives 10/10 about 35% of the time. Image story/boundary_failures.png.","Loop B Try+Observe: Wald at 0/10 is [0,0]; Wilson [0.000,0.278]; Clopper-Pearson [0.000,0.308]; Bayesian Beta(1,11) credible [0.002,0.265]. Image boundary_failures.png.","story_generate.render_boundary_failures (cases 0/10, 10/10, 1/100, 99/100); generate.render_boundary_failures (cases 0/10, 10/10, 0/100, 100/100).","SKIP: boundary cases reachable in play/interval_calculator.py."
"Rule of thumb: don't use Wald near boundaries","Slow embarrassment that textbooks still teach Wald because it's easiest by hand; modern software defaults to Wilson or Clopper-Pearson.","Loop B Rule of thumb: Wald unreliable when N·p̂<5 or N·(1-p̂)<5, degenerate at p̂=0 or 1. Wilson is the default; Clopper-Pearson is safe but wide; Bayesian flat prior sits between; Jeffreys Beta(0.5,0.5) matches Clopper-Pearson (forward-ref Ch 6).","SKIP: rule-of-thumb synthesis, no artifact.","SKIP: rule-of-thumb synthesis, no artifact."
"Coverage as a promise","A 95% interval should contain the truth in 95% of imagined runs. Simulate 5000 experiments at known truth, count how often the truth lands inside.","Loop D framing: does the construction actually deliver its promised rate?","SKIP: framing row, no code artifact.","SKIP: framing row, no play artifact."
"Coverage at p=0.5 across N","Each procedure plotted across N; Wald drops to ~70% at N=5; Wilson and Belief track ~95%; Clopper-Pearson sits at or above. Image story/coverage_at_p_50.png.","Loop D Try+Observe: N in {5,10,20,50,100}, p=0.5, 5000 trials. Wald dips at N=5, others cluster near 0.95. Image coverage_simulation.png. Reproducibility: seed=123.","story_generate.render_coverage_at_p_50 (seed 123); generate.render_coverage_simulation + _coverage_at (seed 123, 5000 trials).",play/coverage_simulator.py
"Why single-point coverage lies","Checking coverage only at p=0.5 hides the failure — need to sweep all biases.","Loop D' framing: single-point coverage checks are the wrong test; the right question is coverage across the parameter space.","SKIP: framing row, no code artifact.","SKIP: framing row, no play artifact."
"Coverage vs true p at fixed N","At N=30, Wald's coverage saw-tooths and dips below 95% at extreme p. Wilson stays near 95% with mild wiggle; Clopper-Pearson sits at or above; Belief tracks Clopper-Pearson. Image story/coverage_vs_p.png.","Loop D' Try+Observe: N=30, p from 0.02 to 0.98 (49 points), 3000 trials each. Wald oscillates and dips; Wilson stays close to 0.95; Clopper-Pearson ≥0.95 everywhere; Bayesian slightly tighter than CP. Image coverage_vs_p.png. Reproducibility: seed=456.","story_generate.render_coverage_vs_p (seed 456); generate.render_coverage_vs_p (seed 456, 3000 trials, 49-point grid).","SKIP: covered by play/coverage_simulator.py."
"The strongest case against Wald","Wald doesn't just fail at small N — it fails at extreme p across all N. In 2026 the right default is Wilson or Clopper-Pearson for binomial data.","Loop D' Hunch: textbooks built around Wald give the wrong intuition for small-sample binomial work.","SKIP: conclusion drawn from prior row, no new code.","SKIP: conclusion drawn from prior row, no play artifact."
"Frequentist vs Bayesian interpretation","Pollster paradox: ""the true vote share is in [50,56] with probability 95%"" is NOT what a frequentist CI says. The Bayesian credible interval CAN be read that way, but requires committing to a prior.","Loop A intro note: a frequentist CI is a statement about the procedure (95% of imagined runs wrap the truth); a Bayesian credible interval is a direct probability statement about p. They can numerically agree and still mean different things.","SKIP: interpretive aside, no artifact.","SKIP: interpretive aside, no artifact."
"Priors that disagree","ATM coin vs magic-shop coin vs friend's coin — same 60/100 observation, three starting points. Should I end up in the same place?",Loop C framing: same data through three priors.,"SKIP: framing row, no code artifact.","SKIP: framing row, no play artifact."
"Three priors, same data","Two-panel figure: priors on the left (flat, skeptical, expects-tails), posteriors on the right after 60/100. Flat centres just above 0.6; skeptical around 0.55 (prior drags the data back); expects-tails around 0.56. Image story/priors_argue.png.","Loop C Try+Observe: Beta(1,1)→Beta(61,41), mean 0.598, 95% CI [0.50,0.69]; Beta(50,50)→Beta(110,90), mean 0.55, CI [0.48,0.62]; Beta(2,8)→Beta(62,48), mean 0.564. Image three_priors.png.",story_generate.render_priors_argue; generate.render_three_priors,play/prior_playground.py
"Priors are a feature, not a bug","The frequentist procedure that claims no prior is not really prior-free — it implicitly assumes uniform. Bayesian just names the assumption.","Loop C Hunch: priors make assumptions explicit; the frequentist implicit prior is an assumption too, just less visible.","SKIP: philosophical hunch, no code artifact.","SKIP: philosophical hunch, no play artifact."
"Reading intervals in the real world","Pollster CIs (N≈1000, Wald fine in the middle), drug survival 2.1 CI 0.4–3.8 (lower bound is what matters), medical screening false-positive 5% CI 4.2–5.9. Interval carries more information than the headline.",Not covered (story-only application).,"SKIP: real-world application, story-only.","SKIP: real-world application, story-only."
"Tests and intervals pair up one-to-one","Each test from Ch 4 has a matching interval: exact binomial ↔ Clopper-Pearson, z-test ↔ Wald, chi-square ↔ Wald, Bayesian decision rule ↔ credible interval. Two views of the same machinery.",Not covered explicitly here (follows from Ch 4 + Loop A).,"SKIP: conceptual synthesis, no artifact.","SKIP: conceptual synthesis, no artifact."
"Hand-off: Bayesian framework end-to-end","Up to here the Bayesian apparatus was piecemeal (belief curve, prior, posterior, interval) with closed-form formulas. Next chapter: what is a prior formally, how do we update when there's no closed form.","Big-question section: time to make posterior formal — prior, likelihood, posterior, credible interval, Bayes factor. From Ch 6 onward, PyMC replaces closed-form Beta-binomial.","SKIP: hand-off paragraph, no artifact.","SKIP: hand-off paragraph, no artifact."
