Topic,Story (story.md),Technical (chapter.md),Code,Play
MCMC diagnostics,Not covered.,"Loop C Observe diagnostics: R-hat 1.00 on p, ESS_bulk ~ 1400, ESS_tail ~ 2700, 0 divergences. R-hat near 1 says chains agree; ESS counts effectively-independent draws; divergences flag bad geometry. Saved to data/posterior_chapter6.nc.",generate.render_pymc_diagnostic (saves idata via save_idata),SKIP: diagnostics output no interactive
Why bother with PyMC when the formula exists,"In 99% of real problems the formula doesn't exist. PyMC + same recipe handles hierarchical, latent, censored, mixture models. Forward-pointed to Ch 7, 8, 11, 12, 17.","Loop C closing: closed form shown alongside PyMC whenever both are tractable; PyMC is the only path once the special case fails.",SKIP: synthesis paragraph no artifact,SKIP: synthesis paragraph no interactive
"Bayes factor, the Bayesian p-value",Mentioned then deferred: BF is a ratio of how well two hypotheses explain the data; useful but fragile.,"Loop D Try: BF_10 = ratio of marginal likelihoods, >1 favours H1, <1 favours H0. H1 with p ~ Uniform(0, 1) as the natural pair to Beta(1, 1).",generate.render_bayes_factor (seed 0; 2000 tosses each for fair and p=0.55),SKIP: BF figure has no interactive
Lindley's paradox / prior-on-H1 fragility,"Story aside: BF depends on the choice of prior over the alternative; small changes produce big BF swings. Reason it won't be used in the rest of the book; posterior probability of action-relevant hypotheses is used instead.","Loop D caveat: a uniform alternative spreads mass into p=0.05 and p=0.95 as much as p=0.5; Beta(2, 2) or a tight local alternative would give very different curves. The number reported is 'BF under this specific H1', not 'the BF'.",SKIP: caveat paragraph no artifact,SKIP: caveat paragraph no interactive
Bayes factor accumulates evidence with N,Not shown.,"Loop D Observe: fair coin BF drifts near 1 forever; biased coin BF ~ 970 at N=1000, ~ 290000 at N=2000 with seed 0. Log-scale axes required; BF growth scales as exp(c*N). Image bayes_factor.png.","generate.render_bayes_factor (saves bayes_factor_curve.npy with N, BF_fair, BF_biased)",SKIP: BF accumulation figure no interactive
BF compared to a sequential p-value,Not covered.,"Loop D Compare: sequential p-value would also catch the bias but needs alpha-spending machinery; BF=30 is directly interpretable as 30x evidence ratio. The trade is the prior on H1.",SKIP: comparison paragraph no artifact,SKIP: comparison paragraph no interactive
"Posterior predictive: what will I see next?","Predict heads in the next 20 after observing 50 tosses. Naive plug-in uses p_hat = 33/50 = 0.66 and gets a Binomial centred at 13.2. Full Bayesian samples bias from posterior then count from bias.","Loop E Try: posterior predictive samples p ~ posterior then heads ~ Binomial(20, p); marginalizes uncertainty about p.","story_generate.render_posterior_predictive (seed 11, observed k from p=0.6 generator); generate.render_posterior_predictive (seed 11 for data, seed 0 for samples)",SKIP: predictive figure no interactive
Posterior predictive is wider than plug-in,"Orange-red Bayesian histogram vs blue plug-in: 95% range 8 to 18 heads (Bayesian) vs 8 to 17 (plug-in). One head of width represents the ignored uncertainty about p. Image story/posterior_predictive.png.","Loop E Observe: on the seed=11 realization, 33 heads in 50; posterior on p centres near 0.65; predictive mode 13, 95% interval [8, 18] vs plug-in [8, 17]. Image posterior_predictive.png.","story_generate.render_posterior_predictive (compares to plug-in); generate.render_posterior_predictive (Bayesian-only on tech track)",SKIP: comparison figure no interactive
Bayesian framework gives prediction for free,"One-line recipe: sample posterior, sample prediction. Frequentist prediction intervals exist but are clumsier.",Loop E Hunch: coherent prediction story for free; frequentist analogues are clumsier.,SKIP: synthesis paragraph no artifact,SKIP: synthesis paragraph no interactive
Belief evolves with data,"Four panels at N=10/100/1000/10000 from a true-bias 0.55 coin: belief curve widens to a near-spike on 0.55. Image story/belief_evolves_with_data.png. 'Picture of learning from data'.",Not covered on tech track (story-only narrative figure).,story_generate.render_belief_evolves_with_data (seed 7),play/belief_updater.py
"Same framework: doctor, jury, elections again","Reapply the recipe: positive screen at 1-in-1000 prevalence + 90% accurate test gives ~0.9% posterior; doctors get this wrong (Eddy 1982: 95/100 wrong). Jury = strong innocence prior + evidentiary update. Election-fraud disputes are arguments about priors.",Not covered.,SKIP: real-world hook story-only,SKIP: real-world hook story-only
"Hand-off: what about more than two outcomes?","Closing question: framework generalizes to dice and multinomials; Dirichlet replaces Beta but the recipe is the same. Sets up Ch 7.","Big-question section: six sides, twelve, a hundred? Multinomial machinery in Ch 7 leads to A/B testing in Ch 8.",SKIP: hand-off paragraph no artifact,SKIP: hand-off paragraph no interactive
