Topic,Story (story.md),Technical (chapter.md),Code,Play
"Days-since-exposure view shows the decay directly","SKIP: technical observation","Loop A Observe: starts at +6pp on day 1, decays to ~0 by day 20. Shape of the decay is visible directly. Image three_views.png (middle panel).",generate.render_three_views uses expkit.novelty.measure.by_days_since_exposure,"SKIP: panel of three_views figure"
"Exposure-count view reveals habituation","SKIP: technical observation","Loop A Observe: first exposure shows max lift, later exposures show progressively less. Image three_views.png (right panel).",generate.render_three_views uses expkit.novelty.measure.by_exposure_count,"SKIP: panel of three_views figure"
"Same log can say ""great"" or ""nothing""","SKIP: technical hunch","Loop A Hunch: the same event log supports ""treatment is great"" or ""treatment did nothing"" depending on the chosen aggregation axis.","SKIP: interpretive hunch, no new code","SKIP: interpretive hunch"
"Cohort-tenure mixing is the real confound","SKIP: technical observation","Loop B Observe: calendar-day is what dashboards show; the confound is not calendar time but that each day mixes users at different per-user exposure-tenures.","SKIP: conceptual, no code","SKIP: conceptual, no play"
"Days-since-exposure tail is a survival sample","SKIP: technical observation","Loop B Observe: late-arriving users cannot reach the long-exposure tail, so day-30-of-exposure contains only early arrivers. If early arrivers differ (eager adopters), the tail mis-estimates the asymptote. Missing-data problem, not SUTVA.","SKIP: conceptual, no code","SKIP: conceptual, no play"
"Exposure-count bins weight by heavy users","SKIP: technical observation","Loop B Observe: exposure count is a function of arrival rate; heavy users dominate high-count bins. Simulator uses uniform arrival so it does not bite, but production data conflates habituation with baseline differences.","SKIP: conceptual, no code","SKIP: conceptual, no play"
"No single right view","SKIP: technical hunch","Loop B Hunch: different views answer different questions; pretending one is the answer is the source of most novelty-related disagreements.","SKIP: interpretive hunch","SKIP: interpretive hunch"
"Primacy effects: the mirror image",Sister problem: some treatments show small day-one effects and grow as users learn. Opposite of novelty; both confuse a 7-day test.,"Loop C Try: simulate three shapes — decay, primacy, U-shape. Image decay_shapes.png.",generate.render_decay_shapes (closed-form curves for decay / primacy / U-shape),play/decay_shapes.py
"Real shapes are mixtures, not canonical","SKIP: technical observation","Loop C Observe: the three shapes are illustrative, not exhaustive. Real data can be linear ramps, oscillations, regime-shifts. Population mixtures of users with different shapes can cancel to a flat mean.","SKIP: conceptual caveat","SKIP: covered by play/decay_shapes.py"
"""Wait until novelty wears off"" is shape-dependent","SKIP: technical hunch","Loop C Hunch: fine for decay; catastrophic for primacy (ship too early) or U-shape (give up too early).","SKIP: interpretive hunch","SKIP: covered by play/decay_shapes.py"
"Time-horizon tradeoff: streaming skip-intro, one-click buy, headache drug",Three real cases: skip-intro button falls off by month two, one-click conversion lift shrinks from 5% to 1%, headache drug strong at 1h and weak at 24h. Choosing the horizon is choosing which effect to measure.,"Not covered in the body; Loop C Observe touches the mixture concept that these cases illustrate.","SKIP: real-world hooks, story-only","SKIP: covered by play/lifecycle_horizons.py"
"Frequentist fix: exponential decay with per-user random effects","SKIP: technical commentary","Two-lens commentary — Frequentist: estimate the asymptote by truncating early days (sensitive to cut), or fit exponential decay with per-user random intercept and asymptote via statsmodels.MixedLM (linearized) or scipy.optimize (full nonlinear).","SKIP: method sketch, not yet implemented","SKIP: method sketch, not yet implemented"
"Bayesian fix: hierarchical model with PyMC","SKIP: technical commentary","Two-lens commentary — Bayesian: same structural model fit hierarchically; per-user latent decay shape with population priors on initial lift, asymptote, time-to-asymptote. Posterior over asymptote marginalizes decay uncertainty. Canonical: PyMC.","SKIP: method sketch, not yet implemented","SKIP: method sketch, not yet implemented"
"Decision rule: asymptote posterior vs MMU","SKIP: technical decision rule","Two-lens commentary: ship if the posterior on the asymptotic effect exceeds the Ch 8 minimum meaningful uplift. Hierarchical model gives the posterior MMU needs; truncate-and-average only gives a point estimate.","SKIP: covered by play/asymptote_vs_mmu.py",play/asymptote_vs_mmu.py
"Hand-off: what if users in treatment aren't exposed?","Closing forward question: in reality some fraction of the treatment arm does not engage with the treatment — didn't log in, didn't see the feature, opted out. If some people in treatment aren't getting the treatment, what does the comparison mean?","Big question for Ch 15: what happens when ""in the experiment"" doesn't mean ""exposed to the change""?","SKIP: hand-off question to Ch 15","SKIP: hand-off question to Ch 15"
